l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
32,86,7,5,44.00,43387.52,0.05,0.06,N,O,1995-08-28,1995-08-20,1995-09-14,DELIVER IN PERSON,AIR,as are bold requests. quickly regular brai
32,12,6,6,6.00,5472.06,0.04,0.03,N,O,1995-07-21,1995-09-23,1995-07-25,COLLECT COD,RAIL,ly final asymptotes. qui
33,62,7,1,31.00,29823.86,0.09,0.04,A,F,1993-10-29,1993-12-19,1993-11-08,COLLECT COD,TRUCK,uctions. slyly pending requests ca
33,61,8,2,32.00,30753.92,0.02,0.05,A,F,1993-12-09,1994-01-04,1993-12-28,COLLECT COD,MAIL,"y ironic, regular"
33,138,4,3,5.00,5190.65,0.05,0.03,A,F,1993-12-09,1993-12-25,1993-12-23,TAKE BACK RETURN,AIR, pending platelets ma
33,34,5,4,41.00,38295.23,0.09,0.00,R,F,1993-11-09,1994-01-24,1993-11-11,TAKE BACK RETURN,MAIL,as about the slyly regular d
34,89,10,1,13.00,12858.04,0.00,0.07,N,O,1998-10-23,1998-09-14,1998-11-06,NONE,REG AIR,boost fluffily about the quickl
34,90,1,2,22.00,21781.98,0.08,0.06,N,O,1998-10-09,1998-10-16,1998-10-12,NONE,FOB,efully fluffi
34,170,7,3,6.00,6421.02,0.02,0.06,N,O,1998-10-30,1998-09-20,1998-11-05,NONE,FOB,ar pinto beans.
35,1,4,1,24.00,21624.00,0.02,0.00,N,O,1996-02-21,1996-01-03,1996-03-18,TAKE BACK RETURN,FOB,r packages. eve
35,162,1,2,34.00,36113.44,0.06,0.08,N,O,1996-01-22,1996-01-06,1996-01-27,DELIVER IN PERSON,RAIL,ptotes cajole fluffily across
35,121,4,3,7.00,7147.84,0.06,0.04,N,O,1996-01-19,1995-12-22,1996-01-29,NONE,MAIL, deposits believe blith
35,86,7,4,25.00,24652.00,0.06,0.05,N,O,1995-11-26,1995-12-25,1995-12-21,DELIVER IN PERSON,SHIP,gular platele
35,120,7,5,34.00,34684.08,0.08,0.06,N,O,1995-11-08,1996-01-15,1995-11-26,COLLECT COD,MAIL,ites engage according to the iro
35,31,7,6,28.00,26068.84,0.03,0.02,N,O,1996-02-01,1995-12-24,1996-02-28,COLLECT COD,RAIL,ajole final pack
36,120,1,1,42.00,42845.04,0.09,0.00,N,O,1996-02-03,1996-01-21,1996-02-23,COLLECT COD,SHIP,s integrate about the fur
37,23,8,1,40.00,36920.80,0.09,0.03,A,F,1992-07-21,1992-08-01,1992-08-15,NONE,REG AIR,lyly according to the ironic accounts. sly
37,127,6,2,39.00,40057.68,0.05,0.02,A,F,1992-07-02,1992-08-18,1992-07-28,TAKE BACK RETURN,RAIL,"ts. fluffy, bold theod"
37,13,7,3,43.00,39259.43,0.05,0.08,A,F,1992-07-10,1992-07-06,1992-08-02,DELIVER IN PERSON,TRUCK,nst the fi
38,176,5,1,44.00,47351.48,0.04,0.02,N,O,1996-09-29,1996-11-17,1996-09-30,COLLECT COD,MAIL, dazzle quickly against the carefu
39,3,10,1,44.00,39732.00,0.09,0.06,N,O,1996-11-14,1996-12-15,1996-12-12,COLLECT COD,RAIL,c deposits wake fl
39,187,8,2,26.00,28266.68,0.08,0.04,N,O,1996-11-04,1996-10-20,1996-11-20,NONE,FOB,le in place of the carefully r
39,68,3,3,46.00,44530.76,0.06,0.08,N,O,1996-09-26,1996-12-19,1996-10-26,DELIVER IN PERSON,AIR,al accounts af
39,21,6,4,32.00,29472.64,0.07,0.05,N,O,1996-10-02,1996-12-19,1996-10-14,COLLECT COD,MAIL,"the slyly silent instructions. regular, sil"
39,55,10,5,43.00,41067.15,0.01,0.01,N,O,1996-10-17,1996-11-14,1996-10-26,COLLECT COD,MAIL,ideas eat flu
39,95,7,6,40.00,39803.60,0.06,0.05,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,AIR,ideas. furiously r
64,86,7,1,21.00,20707.68,0.05,0.02,R,F,1994-09-30,1994-09-18,1994-10-26,DELIVER IN PERSON,REG AIR, fluffily pending theodolites h
65,60,5,1,26.00,24961.56,0.03,0.03,A,F,1995-04-20,1995-04-25,1995-05-13,NONE,TRUCK,ly ironic pinto beans. packages haggle
65,74,3,2,22.00,21429.54,0.00,0.05,N,O,1995-07-17,1995-06-04,1995-07-19,COLLECT COD,FOB,l packages. silent
65,2,5,3,21.00,18942.00,0.09,0.07,N,O,1995-07-06,1995-05-14,1995-07-31,DELIVER IN PERSON,RAIL,was above the furiously final warthogs. iro
66,116,10,1,31.00,31499.41,0.00,0.08,R,F,1994-02-19,1994-03-11,1994-02-20,TAKE BACK RETURN,RAIL,"haggle blithely according to the even, "
66,174,5,2,41.00,44040.97,0.04,0.07,A,F,1994-02-21,1994-03-01,1994-03-18,COLLECT COD,AIR,ut the slyl
67,22,5,1,4.00,3688.08,0.09,0.04,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,SHIP, above the blithely f
67,21,10,2,12.00,11052.24,0.09,0.05,N,O,1997-01-27,1997-02-21,1997-02-22,NONE,REG AIR,blithely. blithely pe
67,174,4,3,5.00,5370.85,0.03,0.07,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,TRUCK,. slyly final asymptotes maintai
67,88,9,4,44.00,43475.52,0.08,0.06,N,O,1997-03-18,1997-01-29,1997-04-13,DELIVER IN PERSON,RAIL,lets haggle slyly. carefully blithe asymp
67,41,10,5,23.00,21643.92,0.05,0.07,N,O,1997-04-19,1997-02-14,1997-05-06,DELIVER IN PERSON,REG AIR,"ial, final request"
67,179,9,6,29.00,31295.93,0.02,0.05,N,O,1997-01-25,1997-01-27,1997-01-27,DELIVER IN PERSON,FOB,ular foxes 
68,8,1,1,3.00,2724.00,0.05,0.02,N,O,1998-07-04,1998-06-05,1998-07-21,NONE,RAIL,ly regular excuses. blithely express braid
68,176,4,2,46.00,49503.82,0.02,0.05,N,O,1998-06-26,1998-06-07,1998-07-05,NONE,MAIL,o beans. packages cajole furiously. r
68,35,1,3,46.00,43011.38,0.04,0.05,N,O,1998-08-13,1998-07-08,1998-08-29,NONE,RAIL,aggle furiously across the slyly final depo
68,95,9,4,20.00,19901.80,0.07,0.01,N,O,1998-06-27,1998-05-23,1998-07-02,NONE,REG AIR,onic foxes. blithely regular
68,83,4,5,27.00,26543.16,0.03,0.06,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,SHIP,arefully special excuses. instru
68,103,6,6,30.00,30093.00,0.05,0.06,N,O,1998-08-11,1998-07-11,1998-08-14,NONE,RAIL,ifts across the slyly expre
68,140,6,7,41.00,42645.74,0.09,0.08,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,SHIP,"ravely busy pinto beans. regular, r"
69,116,10,1,48.00,48773.28,0.01,0.07,A,F,1994-08-17,1994-08-11,1994-09-08,NONE,TRUCK,y against the slyly unusual foxes. regular
69,105,10,2,32.00,32163.20,0.08,0.06,A,F,1994-08-24,1994-08-17,1994-08-31,NONE,REG AIR,gh the blithely express 
69,138,4,3,17.00,17648.21,0.09,0.00,A,F,1994-07-02,1994-07-07,1994-07-03,TAKE BACK RETURN,AIR,the pinto beans. bli
69,38,9,4,3.00,2814.09,0.09,0.04,R,F,1994-06-06,1994-07-27,1994-06-15,NONE,MAIL,haggle furiously 
69,93,6,5,42.00,41709.78,0.07,0.04,R,F,1994-07-31,1994-07-26,1994-08-28,DELIVER IN PERSON,REG AIR,nts. theodolites wa
69,19,3,6,23.00,21137.23,0.05,0.00,A,F,1994-10-03,1994-08-06,1994-10-24,NONE,SHIP,cies nag. express
70,65,2,1,8.00,7720.48,0.03,0.08,R,F,1994-01-12,1994-02-27,1994-01-14,TAKE BACK RETURN,FOB,ng the regular pinto beans. fluff
70,197,10,2,13.00,14263.47,0.06,0.06,A,F,1994-03-03,1994-02-13,1994-03-26,COLLECT COD,AIR,. bold packages acr
70,180,8,3,1.00,1080.18,0.03,0.05,R,F,1994-01-26,1994-03-05,1994-01-28,TAKE BACK RETURN,RAIL,ts nag. fluffily unusual ideas along th
70,46,9,4,11.00,10406.44,0.01,0.05,A,F,1994-03-17,1994-03-17,1994-03-27,NONE,MAIL,ts haggle blithely express dep
70,38,9,5,37.00,34707.11,0.09,0.04,R,F,1994-02-13,1994-03-16,1994-02-21,COLLECT COD,MAIL,e packages. quick
70,56,8,6,19.00,18164.95,0.06,0.03,A,F,1994-01-26,1994-02-17,1994-02-06,TAKE BACK RETURN,SHIP,ans boost slyly. final dependenc
71,62,3,1,25.00,24051.50,0.09,0.07,N,O,1998-04-10,1998-04-22,1998-04-11,COLLECT COD,FOB, daring pin
71,66,1,2,3.00,2898.18,0.09,0.07,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,SHIP,o beans. final dependencies mol
71,35,1,3,45.00,42076.35,0.00,0.07,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,SHIP,y ironic packages wake carefully fu
71,97,9,4,33.00,32903.97,0.00,0.01,N,O,1998-04-12,1998-03-20,1998-04-15,NONE,FOB,ravely. slowly ironic epitaphs arou
71,104,7,5,39.00,39159.90,0.08,0.06,N,O,1998-01-29,1998-04-07,1998-02-18,DELIVER IN PERSON,RAIL,g the blithely ironic deposits. 
71,196,9,6,34.00,37270.46,0.04,0.01,N,O,1998-03-05,1998-04-22,1998-03-30,DELIVER IN PERSON,TRUCK,ns. pendin
96,124,7,1,23.00,23554.76,0.10,0.06,A,F,1994-07-19,1994-06-29,1994-07-25,DELIVER IN PERSON,TRUCK,furiously stealthy
96,136,7,2,30.00,31083.90,0.01,0.06,R,F,1994-06-03,1994-05-29,1994-06-22,DELIVER IN PERSON,TRUCK,sublate furiously. silently 
97,120,4,1,13.00,13261.56,0.00,0.02,R,F,1993-04-01,1993-04-04,1993-04-08,NONE,TRUCK,as: blithely ironic packages wake 
97,50,7,2,37.00,35151.85,0.02,0.06,A,F,1993-04-13,1993-03-30,1993-04-14,DELIVER IN PERSON,SHIP,st the slyly thin accounts. requ
97,78,6,3,19.00,18583.33,0.06,0.08,R,F,1993-05-14,1993-03-05,1993-05-25,TAKE BACK RETURN,RAIL,final deposits detect slyly slyly regular
98,41,2,1,28.00,26349.12,0.06,0.07,A,F,1994-12-24,1994-10-25,1995-01-16,COLLECT COD,REG AIR,gular accounts after the sly
98,110,7,2,1.00,1010.11,0.00,0.00,A,F,1994-12-01,1994-12-12,1994-12-15,DELIVER IN PERSON,TRUCK,ly express asymptotes haggle c
98,45,6,3,14.00,13230.56,0.05,0.02,A,F,1994-12-30,1994-11-22,1995-01-27,COLLECT COD,AIR,"e special, special deposits. ironic depos"
98,168,9,4,10.00,10681.60,0.03,0.03,A,F,1994-10-23,1994-11-08,1994-11-09,COLLECT COD,RAIL,. fluffily regular instructions 
99,88,9,1,10.00,9880.80,0.02,0.01,A,F,1994-05-18,1994-06-03,1994-05-23,COLLECT COD,RAIL,requests ca
99,124,5,2,5.00,5120.60,0.02,0.07,R,F,1994-05-06,1994-05-28,1994-05-20,TAKE BACK RETURN,RAIL, slyly ironic accounts cajole. fina
99,135,1,3,42.00,43475.46,0.02,0.02,A,F,1994-04-19,1994-05-18,1994-04-20,NONE,RAIL,nic requests. furiously regular
99,109,2,4,36.00,36327.60,0.09,0.02,A,F,1994-07-04,1994-04-17,1994-07-30,DELIVER IN PERSON,AIR,lithely even p
100,63,4,1,28.00,26965.68,0.04,0.05,N,O,1998-05-08,1998-05-13,1998-06-07,COLLECT COD,TRUCK,ithely along the 
100,116,10,2,22.00,22354.42,0.00,0.07,N,O,1998-06-24,1998-04-12,1998-06-29,DELIVER IN PERSON,SHIP,ar accounts boost slyly. brav
100,47,4,3,46.00,43563.84,0.03,0.04,N,O,1998-05-02,1998-04-10,1998-05-22,TAKE BACK RETURN,SHIP,kly ironic requests
100,39,10,4,14.00,13146.42,0.06,0.03,N,O,1998-05-22,1998-05-01,1998-06-03,COLLECT COD,MAIL,ter the regular courts nag b
100,54,6,5,37.00,35299.85,0.05,0.00,N,O,1998-03-06,1998-04-16,1998-03-31,TAKE BACK RETURN,TRUCK, pending depende
101,119,9,1,49.00,49936.39,0.10,0.00,N,O,1996-06-21,1996-05-27,1996-06-29,DELIVER IN PERSON,REG AIR,carefully express excuses wake alo
101,164,9,2,36.00,38309.76,0.00,0.01,N,O,1996-05-19,1996-05-01,1996-06-04,DELIVER IN PERSON,AIR,ar asymptotes about the blithely regul
101,139,5,3,12.00,12469.56,0.06,0.02,N,O,1996-03-29,1996-04-20,1996-04-12,COLLECT COD,MAIL,y dogged courts a
102,89,10,1,37.00,36595.96,0.06,0.00,N,O,1997-07-24,1997-08-02,1997-08-07,TAKE BACK RETURN,SHIP,e slyly regular foxes are alongside 
102,170,5,2,34.00,36385.78,0.03,0.08,N,O,1997-08-09,1997-07-28,1997-08-26,TAKE BACK RETURN,SHIP,s nag. furiously expr
102,183,4,3,25.00,27079.50,0.01,0.01,N,O,1997-07-31,1997-07-24,1997-08-17,NONE,RAIL,notornis: furiously
102,62,7,4,15.00,14430.90,0.07,0.07,N,O,1997-06-02,1997-07-13,1997-06-04,DELIVER IN PERSON,SHIP,s believe. packages doubt carefully
103,195,9,1,6.00,6571.14,0.03,0.05,N,O,1996-10-11,1996-07-25,1996-10-28,NONE,FOB,oost carefully above
103,11,5,2,37.00,33707.37,0.02,0.07,N,O,1996-09-17,1996-07-27,1996-09-20,TAKE BACK RETURN,MAIL,asymptotes. fluffily regular dependencies
103,29,10,3,23.00,21367.46,0.01,0.04,N,O,1996-09-11,1996-09-18,1996-09-26,NONE,FOB,refully. iro
103,30,9,4,32.00,29760.96,0.01,0.07,N,O,1996-07-30,1996-08-06,1996-08-04,NONE,RAIL," haggle slyly. regular, express foxe"
128,107,10,1,38.00,38269.80,0.06,0.01,A,F,1992-09-01,1992-08-27,1992-10-01,TAKE BACK RETURN,FOB,ructions impres
129,3,6,1,46.00,41538.00,0.08,0.02,R,F,1993-02-15,1993-01-24,1993-03-05,COLLECT COD,TRUCK,osits along the carefully final 
129,186,7,2,36.00,39102.48,0.01,0.02,A,F,1992-11-25,1992-12-25,1992-12-09,TAKE BACK RETURN,REG AIR,even excuses cajo
129,40,6,3,33.00,31021.32,0.04,0.06,A,F,1993-01-08,1993-02-14,1993-01-29,COLLECT COD,SHIP,counts through the bold t
129,136,7,4,34.00,35228.42,0.00,0.01,R,F,1993-01-29,1993-02-14,1993-02-10,COLLECT COD,MAIL,des. pinto beans slee
129,32,8,5,24.00,22368.72,0.06,0.00,A,F,1992-12-07,1993-01-02,1992-12-11,TAKE BACK RETURN,FOB,ate carefully carefully final packages
129,78,6,6,22.00,21517.54,0.06,0.01,R,F,1993-02-15,1993-01-31,1993-02-24,COLLECT COD,SHIP,ckages boost blithel
129,169,6,7,1.00,1069.16,0.05,0.04,R,F,1993-01-26,1993-01-08,1993-02-24,DELIVER IN PERSON,FOB,ly pending packages wake slyly
130,129,10,1,14.00,14407.68,0.08,0.05,A,F,1992-08-15,1992-07-25,1992-09-13,COLLECT COD,RAIL,oxes. doggedly ironic deposi
130,2,5,2,48.00,43296.00,0.03,0.02,R,F,1992-07-01,1992-07-12,1992-07-24,NONE,AIR,ages use slyly even courts. c
130,12,3,3,18.00,16416.18,0.04,0.08,A,F,1992-07-04,1992-06-14,1992-07-29,DELIVER IN PERSON,MAIL,s. permanently regular pi
130,116,6,4,13.00,13209.43,0.09,0.02,R,F,1992-06-26,1992-07-29,1992-07-05,NONE,FOB,ular requests nag carefully spe
130,70,7,5,31.00,30072.17,0.06,0.05,R,F,1992-09-01,1992-07-18,1992-09-02,TAKE BACK RETURN,RAIL, blithely even pinto
131,168,7,1,45.00,48067.20,0.10,0.02,R,F,1994-09-14,1994-09-02,1994-10-04,NONE,FOB, are slyly about the slyly fin
131,45,8,2,50.00,47252.00,0.02,0.04,A,F,1994-09-17,1994-08-10,1994-09-21,NONE,SHIP,riously at the furiously express dependenc
131,190,1,3,4.00,4360.76,0.04,0.03,A,F,1994-09-20,1994-08-30,1994-09-23,COLLECT COD,REG AIR,e final foxes are furi
132,141,8,1,18.00,18740.52,0.00,0.08,R,F,1993-07-10,1993-08-05,1993-07-13,NONE,TRUCK,ss the special theodolite
132,120,1,2,43.00,43865.16,0.01,0.08,R,F,1993-09-01,1993-08-16,1993-09-22,NONE,TRUCK,furiously slyly regul
132,115,6,3,32.00,32483.52,0.04,0.04,A,F,1993-07-12,1993-08-05,1993-08-05,COLLECT COD,TRUCK, packages. pending 
132,29,2,4,23.00,21367.46,0.10,0.00,A,F,1993-06-16,1993-08-27,1993-06-23,DELIVER IN PERSON,AIR,ully carefully unusual for
133,104,7,1,27.00,27110.70,0.00,0.02,N,O,1997-12-21,1998-02-23,1997-12-27,TAKE BACK RETURN,MAIL,structions sleep furiously 
133,177,5,2,12.00,12926.04,0.02,0.06,N,O,1997-12-02,1998-01-15,1997-12-29,DELIVER IN PERSON,REG AIR,requests thrash at the furio
133,118,8,3,29.00,29525.19,0.09,0.08,N,O,1998-02-28,1998-01-30,1998-03-09,DELIVER IN PERSON,RAIL,iously final pinto beans integr
133,90,1,4,11.00,10890.99,0.06,0.01,N,O,1998-03-21,1998-01-15,1998-04-04,DELIVER IN PERSON,REG AIR,structions integrate quickly.
134,1,2,1,21.00,18921.00,0.00,0.03,A,F,1992-07-17,1992-07-08,1992-07-26,COLLECT COD,SHIP,pending pinto bean
134,165,2,2,35.00,37280.60,0.06,0.07,A,F,1992-08-23,1992-06-01,1992-08-24,NONE,MAIL,r pinto beans. carefully ir
134,189,10,3,26.00,28318.68,0.09,0.06,A,F,1992-06-20,1992-07-12,1992-07-16,NONE,RAIL,sits wake. furiously fin
134,145,6,4,47.00,49121.58,0.05,0.00,A,F,1992-08-16,1992-07-06,1992-08-28,NONE,REG AIR,l foxes: final foxes integrate fluffily aft
134,36,7,5,12.00,11232.36,0.05,0.02,A,F,1992-07-03,1992-06-01,1992-07-11,COLLECT COD,TRUCK,quickly fina
134,134,10,6,12.00,12409.56,0.00,0.00,A,F,1992-08-08,1992-07-07,1992-08-20,TAKE BACK RETURN,FOB,e alongside of t
135,109,10,1,47.00,47427.70,0.06,0.08,N,O,1996-02-18,1996-01-01,1996-02-25,COLLECT COD,RAIL,xpress instructions. 
135,199,3,2,21.00,23082.99,0.00,0.07,N,O,1996-02-11,1996-01-12,1996-02-13,DELIVER IN PERSON,SHIP,er the blithely enticing dolphins. iro
135,158,10,3,33.00,34918.95,0.02,0.00,N,O,1996-01-03,1995-11-21,1996-02-01,TAKE BACK RETURN,MAIL,special accounts are acr
135,68,7,4,34.00,32914.04,0.02,0.03,N,O,1996-01-12,1996-01-19,1996-02-05,NONE,TRUCK,cording to the deposits. blithely expr
135,137,8,5,20.00,20742.60,0.01,0.04,N,O,1996-01-25,1995-11-20,1996-02-09,NONE,MAIL,. carefully express pa
135,115,5,6,13.00,13196.43,0.04,0.02,N,O,1995-11-12,1995-12-22,1995-11-17,NONE,FOB,the packages. carefull
160,15,2,1,36.00,32940.36,0.07,0.01,N,O,1997-03-11,1997-03-11,1997-03-20,COLLECT COD,MAIL, unusual excuses boost: unusual depen
160,87,8,2,22.00,21715.76,0.00,0.04,N,O,1997-02-18,1997-03-05,1997-03-05,COLLECT COD,RAIL, carefully even epitaph
160,21,10,3,34.00,31314.68,0.01,0.05,N,O,1997-01-31,1997-03-13,1997-02-14,NONE,FOB,e furiously blithely even accounts. bli
161,103,10,1,19.00,19058.90,0.01,0.01,A,F,1994-12-13,1994-11-19,1994-12-26,DELIVER IN PERSON,TRUCK,le daringly according to the 
162,190,1,1,2.00,2180.38,0.02,0.01,N,O,1995-09-02,1995-06-17,1995-09-08,COLLECT COD,FOB,ly regular packages. quic
163,168,3,1,43.00,45930.88,0.01,0.00,N,O,1997-09-19,1997-11-19,1997-10-03,COLLECT COD,REG AIR, ideas. blithely regular foxes n
163,121,2,2,13.00,13274.56,0.01,0.04,N,O,1997-11-11,1997-10-18,1997-12-07,DELIVER IN PERSON,TRUCK, orbits could have to are blithely 
163,37,3,3,27.00,25299.81,0.04,0.08,N,O,1997-12-26,1997-11-28,1998-01-05,COLLECT COD,REG AIR,slyly final packages. 
163,193,5,4,5.00,5465.95,0.02,0.00,N,O,1997-11-17,1997-10-09,1997-12-05,DELIVER IN PERSON,TRUCK,s use furio
163,127,2,5,12.00,12325.44,0.10,0.00,N,O,1997-12-18,1997-10-26,1997-12-22,COLLECT COD,TRUCK,s wake theodolites. deposi
163,191,4,6,20.00,21823.80,0.00,0.07,N,O,1997-09-27,1997-11-15,1997-10-07,TAKE BACK RETURN,FOB, final packages subla
164,92,4,1,26.00,25794.34,0.09,0.04,A,F,1993-01-04,1992-11-21,1993-01-07,NONE,RAIL,fully unusual requests serve after the
164,19,6,2,24.00,22056.24,0.05,0.05,R,F,1992-12-22,1992-11-27,1993-01-06,NONE,AIR,s sleep fluffily. pending asymptotes wak
164,126,9,3,38.00,38992.56,0.03,0.06,R,F,1992-12-04,1992-11-23,1993-01-02,TAKE BACK RETURN,AIR,uses nag quickly slyly express theodolites
164,18,2,4,32.00,29376.32,0.05,0.01,R,F,1992-12-21,1992-12-23,1992-12-28,COLLECT COD,RAIL,. regular acc
164,148,1,5,43.00,45070.02,0.06,0.01,R,F,1992-11-26,1993-01-03,1992-12-08,COLLECT COD,RAIL,ages against the furiou
164,109,10,6,27.00,27245.70,0.10,0.04,R,F,1992-12-23,1993-01-16,1993-01-10,DELIVER IN PERSON,AIR,ackages boost along th
164,4,7,7,23.00,20792.00,0.09,0.04,A,F,1992-11-03,1992-12-02,1992-11-12,NONE,REG AIR,blithely even pearls was slyly regular in
165,34,5,1,3.00,2802.09,0.01,0.08,R,F,1993-03-29,1993-03-06,1993-04-12,DELIVER IN PERSON,REG AIR,packages are. blithely 
165,162,7,2,43.00,45672.88,0.08,0.05,R,F,1993-02-27,1993-04-19,1993-03-03,DELIVER IN PERSON,TRUCK,nding pinto beans. sl
165,59,1,3,15.00,14385.75,0.00,0.05,R,F,1993-04-10,1993-03-29,1993-05-01,COLLECT COD,SHIP,eposits. blithely exp
165,140,1,4,49.00,50966.86,0.07,0.06,A,F,1993-02-20,1993-04-02,1993-03-10,COLLECT COD,REG AIR, final braids. carefully pending acco
165,156,4,5,27.00,28516.05,0.01,0.04,R,F,1993-04-27,1993-03-04,1993-05-13,NONE,MAIL,o detect. special ideas wak
166,65,2,1,37.00,35707.22,0.09,0.03,N,O,1995-11-16,1995-10-17,1995-12-13,NONE,MAIL,", final accounts. slyly e"
166,167,8,2,13.00,13873.08,0.09,0.05,N,O,1995-11-09,1995-11-18,1995-11-14,COLLECT COD,SHIP,courts. busily even packages 
166,100,2,3,41.00,41004.10,0.07,0.03,N,O,1995-11-13,1995-11-07,1995-12-08,COLLECT COD,FOB,deposits according to the even pac
166,46,3,4,8.00,7568.32,0.05,0.02,N,O,1995-12-30,1995-11-29,1996-01-29,DELIVER IN PERSON,RAIL,egular deposits h
